Technique, Obj Type, ID, Distance, Amplitude, Error, Time,,
FISHING_REEL,1A,2.857981,250,40,0,771.7197,704.3221278,11.11111111
FISHING_REEL,1B,2.857981,250,40,1,647.8884,,
FISHING_REEL,2A,2.857981,250,40,0,647.6021,,
FISHING_REEL,2B,2.857981,250,40,0,593.3604,,
FISHING_REEL,3A,2.857981,250,40,0,743.9352,,
FISHING_REEL,3B,2.857981,250,40,0,673.7197,,
FISHING_REEL,4A,2.857981,250,40,0,614.4847,,
FISHING_REEL,4B,2.857981,250,40,0,658.0104,,
FISHING_REEL,5A,2.857981,250,40,0,738.1829,,
FISHING_REEL,5B,2.857981,250,40,0,814.7938,,
FISHING_REEL,6A,2.857981,250,40,0,737.2689,,
FISHING_REEL,6B,2.857981,250,40,0,714.9821,,
FISHING_REEL,7A,2.857981,250,40,0,636.9742,,
FISHING_REEL,7B,2.857981,250,40,1,725.694,,
FISHING_REEL,8A,2.857981,250,40,0,636.3606,,
FISHING_REEL,8B,2.857981,250,40,0,946.2516,,
FISHING_REEL,9A,2.857981,250,40,0,616.979,,
FISHING_REEL,9B,2.857981,250,40,0,759.5906,,
FISHING_REEL,1A,5.672425,500,10,1,1389.756,1354.567778,55.55555556
FISHING_REEL,1B,5.672425,500,10,1,1184.512,,
FISHING_REEL,2A,5.672425,500,10,1,1131.31,,
FISHING_REEL,2B,5.672425,500,10,1,1398.753,,
FISHING_REEL,3A,5.672425,500,10,0,2311.06,,
FISHING_REEL,3B,5.672425,500,10,1,1374.348,,
FISHING_REEL,4A,5.672425,500,10,0,1384.346,,
FISHING_REEL,4B,5.672425,500,10,1,1074.752,,
FISHING_REEL,5A,5.672425,500,10,1,1416.777,,
FISHING_REEL,5B,5.672425,500,10,0,1205.479,,
FISHING_REEL,6A,5.672425,500,10,0,1408.638,,
FISHING_REEL,6B,5.672425,500,10,1,1194.1,,
FISHING_REEL,7A,5.672425,500,10,0,1174.516,,
FISHING_REEL,7B,5.672425,500,10,0,1204.458,,
FISHING_REEL,8A,5.672425,500,10,1,1150.6,,
FISHING_REEL,8B,5.672425,500,10,1,1241.351,,
FISHING_REEL,9A,5.672425,500,10,0,1708.636,,
FISHING_REEL,9B,5.672425,500,10,0,1428.828,,
FISHING_REEL,1A,4.209454,350,20,1,961.1655,943.2784167,33.33333333
FISHING_REEL,1B,4.209454,350,20,0,725.6082,,
FISHING_REEL,2A,4.209454,350,20,0,1307.037,,
FISHING_REEL,2B,4.209454,350,20,0,938.3578,,
FISHING_REEL,3A,4.209454,350,20,1,1117.955,,
FISHING_REEL,3B,4.209454,350,20,0,925.1976,,
FISHING_REEL,4A,4.209454,350,20,0,849.2858,,
FISHING_REEL,4B,4.209454,350,20,1,837.9651,,
FISHING_REEL,5A,4.209454,350,20,0,849.6516,,
FISHING_REEL,5B,4.209454,350,20,1,711.7612,,
FISHING_REEL,6A,4.209454,350,20,0,807.5037,,
FISHING_REEL,6B,4.209454,350,20,0,810.1587,,
FISHING_REEL,7A,4.209454,350,20,1,849.0333,,
FISHING_REEL,7B,4.209454,350,20,0,1161.511,,
FISHING_REEL,8A,4.209454,350,20,0,893.6835,,
FISHING_REEL,8B,4.209454,350,20,1,971.7155,,
FISHING_REEL,9A,4.209454,350,20,0,1157.104,,
FISHING_REEL,9B,4.209454,350,20,0,1104.317,,
