Technique, Obj Type, ID, Distance, Amplitude, Error, Time
IMAGEPLANE_FRAMINGHANDS,1A,2.857981,250,40,0,1278.14
IMAGEPLANE_FRAMINGHANDS,1B,2.857981,250,40,0,856.0952
IMAGEPLANE_FRAMINGHANDS,2A,2.857981,250,40,0,877.603
IMAGEPLANE_FRAMINGHANDS,2B,2.857981,250,40,0,822.015
IMAGEPLANE_FRAMINGHANDS,3A,2.857981,250,40,0,767.4312
IMAGEPLANE_FRAMINGHANDS,3B,2.857981,250,40,0,878.0886
IMAGEPLANE_FRAMINGHANDS,4A,2.857981,250,40,0,2454.701
IMAGEPLANE_FRAMINGHANDS,4B,2.857981,250,40,0,944.3676
IMAGEPLANE_FRAMINGHANDS,5A,2.857981,250,40,0,733.4235
IMAGEPLANE_FRAMINGHANDS,5B,2.857981,250,40,0,760.8405
IMAGEPLANE_FRAMINGHANDS,6A,2.857981,250,40,0,784.1368
IMAGEPLANE_FRAMINGHANDS,6B,2.857981,250,40,0,710.7692
IMAGEPLANE_FRAMINGHANDS,7A,2.857981,250,40,0,755.7093
IMAGEPLANE_FRAMINGHANDS,7B,2.857981,250,40,0,688.9797
IMAGEPLANE_FRAMINGHANDS,8A,2.857981,250,40,0,710.358
IMAGEPLANE_FRAMINGHANDS,8B,2.857981,250,40,0,900.3499
IMAGEPLANE_FRAMINGHANDS,9A,2.857981,250,40,0,744.284
IMAGEPLANE_FRAMINGHANDS,9B,2.857981,250,40,0,823.0178
IMAGEPLANE_FRAMINGHANDS,1A,5.672425,500,10,0,910.6168
IMAGEPLANE_FRAMINGHANDS,1B,5.672425,500,10,0,989.0926
IMAGEPLANE_FRAMINGHANDS,2A,5.672425,500,10,0,933.0685
IMAGEPLANE_FRAMINGHANDS,2B,5.672425,500,10,0,912.7295
IMAGEPLANE_FRAMINGHANDS,3A,5.672425,500,10,0,1142.924
IMAGEPLANE_FRAMINGHANDS,3B,5.672425,500,10,0,1033.733
IMAGEPLANE_FRAMINGHANDS,4A,5.672425,500,10,0,1177.53
IMAGEPLANE_FRAMINGHANDS,4B,5.672425,500,10,0,911.3367
IMAGEPLANE_FRAMINGHANDS,5A,5.672425,500,10,0,977.4202
IMAGEPLANE_FRAMINGHANDS,5B,5.672425,500,10,0,944.5899
IMAGEPLANE_FRAMINGHANDS,6A,5.672425,500,10,0,1100.323
IMAGEPLANE_FRAMINGHANDS,6B,5.672425,500,10,0,966.4756
IMAGEPLANE_FRAMINGHANDS,7A,5.672425,500,10,0,1132.96
IMAGEPLANE_FRAMINGHANDS,7B,5.672425,500,10,0,1111.458
IMAGEPLANE_FRAMINGHANDS,8A,5.672425,500,10,0,1121.769
IMAGEPLANE_FRAMINGHANDS,8B,5.672425,500,10,0,3322.781
IMAGEPLANE_FRAMINGHANDS,9A,5.672425,500,10,0,1322.138
IMAGEPLANE_FRAMINGHANDS,9B,5.672425,500,10,0,1199.535
IMAGEPLANE_FRAMINGHANDS,1A,4.209454,350,20,0,777.3624
IMAGEPLANE_FRAMINGHANDS,1B,4.209454,350,20,0,700.1762
IMAGEPLANE_FRAMINGHANDS,2A,4.209454,350,20,0,766.7355
IMAGEPLANE_FRAMINGHANDS,2B,4.209454,350,20,1,911.1174
IMAGEPLANE_FRAMINGHANDS,3A,4.209454,350,20,0,633.5961
IMAGEPLANE_FRAMINGHANDS,3B,4.209454,350,20,1,821.7841
IMAGEPLANE_FRAMINGHANDS,4A,4.209454,350,20,0,944.6337
IMAGEPLANE_FRAMINGHANDS,4B,4.209454,350,20,0,755.8206
IMAGEPLANE_FRAMINGHANDS,5A,4.209454,350,20,0,743.9413
IMAGEPLANE_FRAMINGHANDS,5B,4.209454,350,20,0,677.6652
IMAGEPLANE_FRAMINGHANDS,6A,4.209454,350,20,0,755.9026
IMAGEPLANE_FRAMINGHANDS,6B,4.209454,350,20,0,677.5443
IMAGEPLANE_FRAMINGHANDS,7A,4.209454,350,20,0,777.6881
IMAGEPLANE_FRAMINGHANDS,7B,4.209454,350,20,0,744.3859
IMAGEPLANE_FRAMINGHANDS,8A,4.209454,350,20,0,1066.906
IMAGEPLANE_FRAMINGHANDS,8B,4.209454,350,20,0,933.5652
IMAGEPLANE_FRAMINGHANDS,9A,4.209454,350,20,0,788.3151
IMAGEPLANE_FRAMINGHANDS,9B,4.209454,350,20,0,789.1755
