Technique, Obj Type, ID, Distance, Amplitude, Error, Time
IMAGEPLANE_STICKYHAND,1A,2.857981,250,40,0,1189.104
IMAGEPLANE_STICKYHAND,1B,2.857981,250,40,0,633.1052
IMAGEPLANE_STICKYHAND,2A,2.857981,250,40,0,788.8679
IMAGEPLANE_STICKYHAND,2B,2.857981,250,40,0,689.0819
IMAGEPLANE_STICKYHAND,3A,2.857981,250,40,0,744.1512
IMAGEPLANE_STICKYHAND,3B,2.857981,250,40,0,667.11
IMAGEPLANE_STICKYHAND,4A,2.857981,250,40,0,622.0985
IMAGEPLANE_STICKYHAND,4B,2.857981,250,40,0,566.4849
IMAGEPLANE_STICKYHAND,5A,2.857981,250,40,0,522.4335
IMAGEPLANE_STICKYHAND,5B,2.857981,250,40,0,544.3124
IMAGEPLANE_STICKYHAND,6A,2.857981,250,40,0,511.687
IMAGEPLANE_STICKYHAND,6B,2.857981,250,40,1,454.762
IMAGEPLANE_STICKYHAND,7A,2.857981,250,40,0,477.9086
IMAGEPLANE_STICKYHAND,7B,2.857981,250,40,0,444.3275
IMAGEPLANE_STICKYHAND,8A,2.857981,250,40,0,577.8718
IMAGEPLANE_STICKYHAND,8B,2.857981,250,40,0,466.7456
IMAGEPLANE_STICKYHAND,9A,2.857981,250,40,0,499.6219
IMAGEPLANE_STICKYHAND,9B,2.857981,250,40,0,500.3895
IMAGEPLANE_STICKYHAND,1A,4.209454,350,20,0,566.4188
IMAGEPLANE_STICKYHAND,1B,4.209454,350,20,0,571.024
IMAGEPLANE_STICKYHAND,2A,4.209454,350,20,0,473.4355
IMAGEPLANE_STICKYHAND,2B,4.209454,350,20,0,500.0023
IMAGEPLANE_STICKYHAND,3A,4.209454,350,20,0,555.7543
IMAGEPLANE_STICKYHAND,3B,4.209454,350,20,0,500.1863
IMAGEPLANE_STICKYHAND,4A,4.209454,350,20,0,521.8246
IMAGEPLANE_STICKYHAND,4B,4.209454,350,20,0,511.1559
IMAGEPLANE_STICKYHAND,5A,4.209454,350,20,0,521.8636
IMAGEPLANE_STICKYHAND,5B,4.209454,350,20,0,533.8292
IMAGEPLANE_STICKYHAND,6A,4.209454,350,20,0,622.2984
IMAGEPLANE_STICKYHAND,6B,4.209454,350,20,0,511.1649
IMAGEPLANE_STICKYHAND,7A,4.209454,350,20,1,533.2182
IMAGEPLANE_STICKYHAND,7B,4.209454,350,20,0,566.8771
IMAGEPLANE_STICKYHAND,8A,4.209454,350,20,0,521.8618
IMAGEPLANE_STICKYHAND,8B,4.209454,350,20,0,677.5844
IMAGEPLANE_STICKYHAND,9A,4.209454,350,20,0,466.9041
IMAGEPLANE_STICKYHAND,9B,4.209454,350,20,0,522.478
IMAGEPLANE_STICKYHAND,1A,5.672425,500,10,0,922.3586
IMAGEPLANE_STICKYHAND,1B,5.672425,500,10,0,722.3599
IMAGEPLANE_STICKYHAND,2A,5.672425,500,10,0,744.2192
IMAGEPLANE_STICKYHAND,2B,5.672425,500,10,0,778.2883
IMAGEPLANE_STICKYHAND,3A,5.672425,500,10,0,877.2358
IMAGEPLANE_STICKYHAND,3B,5.672425,500,10,0,1444.547
IMAGEPLANE_STICKYHAND,4A,5.672425,500,10,0,855.6587
IMAGEPLANE_STICKYHAND,4B,5.672425,500,10,0,844.0828
IMAGEPLANE_STICKYHAND,5A,5.672425,500,10,0,744.3202
IMAGEPLANE_STICKYHAND,5B,5.672425,500,10,0,700.5955
IMAGEPLANE_STICKYHAND,6A,5.672425,500,10,0,833.422
IMAGEPLANE_STICKYHAND,6B,5.672425,500,10,0,777.9019
IMAGEPLANE_STICKYHAND,7A,5.672425,500,10,0,766.2909
IMAGEPLANE_STICKYHAND,7B,5.672425,500,10,0,733.3577
IMAGEPLANE_STICKYHAND,8A,5.672425,500,10,0,711.0945
IMAGEPLANE_STICKYHAND,8B,5.672425,500,10,0,900.2489
IMAGEPLANE_STICKYHAND,9A,5.672425,500,10,0,944.0471
IMAGEPLANE_STICKYHAND,9B,5.672425,500,10,0,755.7866
