Technique, Obj Type, ID, Distance, Amplitude, Error, Time,,
BUBBLE_CURSOR,1A,2.857981,250,40,0,792.2142,605.0125556,5.555555556
BUBBLE_CURSOR,1B,2.857981,250,40,0,916.351,,
BUBBLE_CURSOR,2A,2.857981,250,40,0,593.0449,,
BUBBLE_CURSOR,2B,2.857981,250,40,0,569.2428,,
BUBBLE_CURSOR,3A,2.857981,250,40,0,602.9523,,
BUBBLE_CURSOR,3B,2.857981,250,40,0,535.2592,,
BUBBLE_CURSOR,4A,2.857981,250,40,0,570.4193,,
BUBBLE_CURSOR,4B,2.857981,250,40,0,648.1195,,
BUBBLE_CURSOR,5A,2.857981,250,40,0,580.12,,
BUBBLE_CURSOR,5B,2.857981,250,40,0,503.8712,,
BUBBLE_CURSOR,6A,2.857981,250,40,1,578.0639,,
BUBBLE_CURSOR,6B,2.857981,250,40,0,627.6516,,
BUBBLE_CURSOR,7A,2.857981,250,40,0,603.0027,,
BUBBLE_CURSOR,7B,2.857981,250,40,0,602.928,,
BUBBLE_CURSOR,8A,2.857981,250,40,0,546.8555,,
BUBBLE_CURSOR,8B,2.857981,250,40,0,598.5967,,
BUBBLE_CURSOR,9A,2.857981,250,40,0,472.5854,,
BUBBLE_CURSOR,9B,2.857981,250,40,0,548.9478,,
BUBBLE_CURSOR,1A,5.672425,500,10,0,1038.808,892.9171611,0
BUBBLE_CURSOR,1B,5.672425,500,10,0,960.684,,
BUBBLE_CURSOR,2A,5.672425,500,10,0,859.885,,
BUBBLE_CURSOR,2B,5.672425,500,10,0,726.2883,,
BUBBLE_CURSOR,3A,5.672425,500,10,0,1061.58,,
BUBBLE_CURSOR,3B,5.672425,500,10,0,836.8422,,
BUBBLE_CURSOR,4A,5.672425,500,10,0,871.5028,,
BUBBLE_CURSOR,4B,5.672425,500,10,0,687.2281,,
BUBBLE_CURSOR,5A,5.672425,500,10,0,949.5781,,
BUBBLE_CURSOR,5B,5.672425,500,10,0,781.6895,,
BUBBLE_CURSOR,6A,5.672425,500,10,0,792.7368,,
BUBBLE_CURSOR,6B,5.672425,500,10,0,849.9042,,
BUBBLE_CURSOR,7A,5.672425,500,10,0,697.5624,,
BUBBLE_CURSOR,7B,5.672425,500,10,0,793.7007,,
BUBBLE_CURSOR,8A,5.672425,500,10,0,1057.168,,
BUBBLE_CURSOR,8B,5.672425,500,10,0,1521.475,,
BUBBLE_CURSOR,9A,5.672425,500,10,0,905.2009,,
BUBBLE_CURSOR,9B,5.672425,500,10,0,680.6749,,
BUBBLE_CURSOR,1A,4.209454,350,20,0,657.644,688.7953833,5.555555556
BUBBLE_CURSOR,1B,4.209454,350,20,0,681.7378,,
BUBBLE_CURSOR,2A,4.209454,350,20,0,659.8926,,
BUBBLE_CURSOR,2B,4.209454,350,20,0,731.3215,,
BUBBLE_CURSOR,3A,4.209454,350,20,0,681.8439,,
BUBBLE_CURSOR,3B,4.209454,350,20,0,740.9191,,
BUBBLE_CURSOR,4A,4.209454,350,20,0,659.2941,,
BUBBLE_CURSOR,4B,4.209454,350,20,0,680.8623,,
BUBBLE_CURSOR,5A,4.209454,350,20,0,604.5475,,
BUBBLE_CURSOR,5B,4.209454,350,20,0,596.9917,,
BUBBLE_CURSOR,6A,4.209454,350,20,0,564.7177,,
BUBBLE_CURSOR,6B,4.209454,350,20,0,524.0438,,
BUBBLE_CURSOR,7A,4.209454,350,20,0,503.0289,,
BUBBLE_CURSOR,7B,4.209454,350,20,0,1427.377,,
BUBBLE_CURSOR,8A,4.209454,350,20,0,651.5685,,
BUBBLE_CURSOR,8B,4.209454,350,20,0,589.8778,,
BUBBLE_CURSOR,9A,4.209454,350,20,1,536.2053,,
BUBBLE_CURSOR,9B,4.209454,350,20,0,906.4434,,
