Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
3DBubbleCursor_Technique,01,8.43836,4.886756,6.20429,0.8482689
3DBubbleCursor_Technique,01,10.21139,4.888104,5.797329,0.2894123
3DBubbleCursor_Technique,01,15.80325,4.89608,7.871323,0.36465
3DBubbleCursor_Technique,01,12.0466,4.891107,7.164385,0.5707736
