Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
FishingReel_Technique,1,2.255394,0,1.110193,0.3477719
FishingReel_Technique,2,2.993122,0,1.996732,0.198426
FishingReel_Technique,3,5.115612,0,3.998957,0.4238888
FishingReel_Technique,4,4.020347,0,3.689705,0.4492169
