Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
ScaledWorldGrab_Technique,1,7.706522,0,79.52038,11.52243
ScaledWorldGrab_Technique,2,4.221775,0,89.83831,14.3618
ScaledWorldGrab_Technique,3,5.31654,0,103.1996,16.00647
ScaledWorldGrab_Technique,4,5.965185,0,98.34491,24.56866
