Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
WorldInMiniature_Technique,1,1.85418,2.431156,1.304783,1.159068
WorldInMiniature_Technique,2,1.966336,2.97069,1.357586,0.1164439
WorldInMiniature_Technique,3,3.283721,4.553158,1.514708,0.2619058
WorldInMiniature_Technique,4,3.015959,4.291326,1.614699,0.3849117
