Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
iSith_Technique,1,11.54833,2.82426,2.202738,0.6717134
iSith_Technique,2,18.4079,3.225682,4.197178,1.007211
iSith_Technique,3,11.39291,3.951823,4.634457,0.9665803
iSith_Technique,4,17.60339,5.183422,5.778442,0.776713
