Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
3DBubbleCursor_Technique,1,6.121141,0,1.944807,0.4025288
3DBubbleCursor_Technique,2,6.612813,0,2.38846,0.2322063
3DBubbleCursor_Technique,3,3.283555,0,3.236287,0.2785446
3DBubbleCursor_Technique,4,3.484658,0,2.668395,0.4076158
