Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
ScaledWorldGrab_Technique,1,6.031694,0,102.2094,8.443318
ScaledWorldGrab_Technique,2,10.27585,0,142.471,30.00332
ScaledWorldGrab_Technique,3,8.801377,0,138.3554,50.84841
ScaledWorldGrab_Technique,4,14.61082,0,153.9681,53.01851
