Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
GoGo_Technique,1,4.143719,0,2.891759,2.230834
GoGo_Technique,2,5.942263,0,3.293545,0.4330795
GoGo_Technique,3,6.634614,0,6.214207,1.265227
GoGo_Technique,4,7.594998,0,5.594344,1.014258
