Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
WorldInMiniature_Technique,1,1.228261,2.03038,1.124903,0.4934442
WorldInMiniature_Technique,2,1.653278,2.537154,1.130865,0.3232955
WorldInMiniature_Technique,3,1.586181,4.206949,1.166401,0.4437468
WorldInMiniature_Technique,4,1.94325,4.034032,1.227329,0.4387629
WorldInMiniature_Technique,5,0,0,0,0
