Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
3DBubbleCursor_Technique,1,6.277781,0,2.925718,0.3635555
3DBubbleCursor_Technique,2,6.589904,0,2.502389,0.2478437
3DBubbleCursor_Technique,3,4.423235,0,3.597208,0.456679
3DBubbleCursor_Technique,4,3.775441,0,3.626485,0.4138041
