Technique, Stage, Time, LeftH_Movement, RightH_Movement, Head_Movement
FishingReel_Technique,1,2.457198,0,1.3949,0.2866929
FishingReel_Technique,2,3.90888,0,2.280774,0.2563215
FishingReel_Technique,3,4.691432,0,3.962967,0.6067879
FishingReel_Technique,4,5.09328,0,4.473397,0.78452
